periods,kuipMetricBaseline,kuipMetricRolling
8.82,0.06399180756780876,0.06091327921145584
10.09,0.07710024021326839,0.07122536374004768
23.91,0.09239501330937708,0.08401840181961093
26.85,0.08231696737466652,0.06497659208725264
34.4,0.07223225347799328,0.06008427514102602
36.27,0.08926910135462018,0.08870314713134508
45.09,0.0617955053846414,0.06594330234202089
48.19,0.05160181820164385,0.06105702255108325
50.53,0.06469756519381475,0.0684353656339427
65.01,0.06428506004697143,0.07458804118174372
65.95,0.05980231038569106,0.09305280557587574
67.08,0.07124765951566964,0.0940738268498959
69.31,0.09429671021651406,0.08754688954264234
69.64,0.07943395914282352,0.08422511247072786
70.84,0.058178644042903016,0.0657040564058385
79.06,0.06487828277827151,0.06373074037339355
82.11,0.06739039986966489,0.07703960923972589
84.91,0.08042450254804356,0.05288985209321463
95.11,0.050509374435752576,0.06128121288576679
100.16,0.0816723769861859,0.07151409830333512
101.35,0.06606909525045529,0.060103171920316695
105.2,0.08637721482631727,0.11275754144429345
108.38,0.08647433231541735,0.07184610054118984
109.56,0.08115147459851066,0.05815374527944578
127.51,0.06817600286096731,0.06724286141737973
129.21,0.04379377196860551,0.04979878447941777
132.39,0.06817636164083263,0.06016626766021747
132.81,0.06856404437831334,0.06395180524793781
133.42,0.06422613915861197,0.060251583636906025
137.53,0.08265371478285943,0.1086570833990545
137.56,0.08101988642523272,0.10794269134970902
139.47,0.07437938822939902,0.09865203427517122
140.58,0.07967763892649737,0.08550162040305859
144.22,0.1127554756169804,0.11653673544766802
144.36,0.11535463258031878,0.12061583613319699
151.01,0.05937034477409786,0.049833421604557615
155.93,0.06491181611958297,0.07035101697852532
167.74,0.07135929577693649,0.045346910254714795
169.62,0.07221793192637495,0.05894245697701508
174.35,0.061302075026755526,0.07368729270610275
181.29,0.12345920354167572,0.12939735985171802
182.36,0.12102890081616524,0.1388677631821098
187.75,0.0774693419115797,0.10181202051674187
192.97,0.045275635353405924,0.06392289864857653
196.47,0.055054452183129765,0.057958536242898887
199.17,0.0625208155652397,0.05915532834681647
199.51,0.055386818275763264,0.060447089190106364
200.56,0.06723677325867794,0.06874897973364741
203.4,0.059755859207805684,0.06889598318927515
205.31,0.08413360532491192,0.07616123753798236
213.45,0.06201386625898722,0.060820991208508424
219.16,0.08912178715734997,0.09790156947687667
224.21,0.10337780753239262,0.11212033742364158
226.23,0.10316939332131181,0.12078971476536637
228.97,0.08260845393850874,0.10088991845631892
230.78,0.08913149195208735,0.0997889613429215
231.68,0.08149296265000994,0.09345530255761281
233.89,0.0769643218888567,0.09047791579332143
236.49,0.07773735645442137,0.10120433577452284
239.05,0.1055076279560844,0.10538253553867336
239.56,0.10927333348750845,0.11180636059804444
241.26,0.13289199993883594,0.13318178115666812
244.19,0.16044991985048002,0.17785765038499507
251.59,0.18486379453913412,0.19634688239795903
252.76,0.17807710031464277,0.18104277880526112
254.05,0.1732529022594365,0.17238387284068724
255.74,0.1597378139668043,0.16462663733403937
265.02,0.049981960049729594,0.06028114119691519
266.03,0.04216943905451298,0.05850654113168374
267.55,0.06374879630398413,0.052206552941769874
267.9,0.06611369585971347,0.04896850320211882
268.05,0.06376134449266065,0.0472082392414549
272.26,0.08677533754444886,0.07181005122704787
276.91,0.0961864330713742,0.10831717845750027
277.5,0.08797795746454792,0.10294122177893819
286.51,0.07424668664144302,0.08306380786539923
290.99,0.07751249361209098,0.08332263037992839
291.52,0.07643570842860525,0.08184919301826521
292.29,0.07870110022914173,0.0852966920014183
294.4,0.06323283657016113,0.08213753337340132
306.79,0.09894497253328385,0.09095404387809523
310.3,0.11310499826408366,0.10103512823717634
312.94,0.11586065013695919,0.11228576779674007
313.91,0.12548546377333147,0.113980613802944
315.2,0.130026050057855,0.1138654986555282
315.64,0.13334354745309585,0.1154083861173123
315.77,0.13418222429770088,0.11369401214816105
315.99,0.1343369927794827,0.11205112671281034
321.45,0.13750831448973672,0.1104136180532017
323.67,0.1256409572344046,0.09269186632007975
330.25,0.0876522488596847,0.07913060059187504
339.3,0.19492164148758417,0.19026094018750492
347.05,0.32476703585551503,0.3243239059494623
348.67,0.3414684676506721,0.3520722796994018
350.23,0.3676858258114491,0.3790862075351802
353.27,0.4065512830167596,0.40384037044615484
369.66,0.4472668783124377,0.4873558693685605
371.28,0.4225526853112179,0.4661972664647198
373.75,0.392008826279177,0.4437469014675146
376.46,0.3602262013345188,0.40773569168262924
382.27,0.28712517010186245,0.3228872650193898
386.3,0.23665793605080374,0.2636065934556622
394.9,0.14115616217660681,0.15506484725780295
397.32,0.11686844043941025,0.1252921473156311
397.35,0.11645345954798297,0.12473141082222527
404.1,0.04599650534483479,0.07497365634098282
407.17,0.04373736719273469,0.07031698853015206
411.2,0.05791864578648326,0.07939384588674248
411.21,0.05772849049466003,0.07937958262133987
420.33,0.0946315673107902,0.10110701409629336
424.58,0.09035378948348913,0.09124153042904595
424.87,0.09106897810471608,0.08871391819703058
432.07,0.07609812836373994,0.0936935963968697
434.87,0.07229000308546571,0.0967256558547937
437.82,0.0811851436268351,0.09499668844035392
439.53,0.07759238173069072,0.10534257097103361
440.41,0.07625695995272389,0.10398884474904552
444.15,0.08052725921732701,0.10800190174741589
446.11,0.07848147347651452,0.10496882927600082
450.01,0.06965520841674791,0.09505413088532963
455.4,0.06799744769061677,0.0836077310685771
457.47,0.06466228955433684,0.08359000271948064
458.41,0.06468787731876968,0.08222802766570103
458.85,0.0647637011183711,0.08208418771892878
459.84,0.06125954423136959,0.0806709916246533
466.9,0.06049411888250367,0.07486869876915925
467.03,0.06005370531286769,0.07510986409405879
468.16,0.05827691755028547,0.07356958902412539
469.78,0.06214508942973507,0.07218582188931738
474.69,0.061868649169584844,0.07060543928592936
485.12,0.09140896511332952,0.09171168230327786
493.7,0.10551551265898812,0.1084709346871186
497.28,0.11103868578394899,0.11610542583128391
498.39,0.11563090429254586,0.11981165472591512
501.82,0.11287779420365918,0.11727660462467943
511.6,0.10875713552076349,0.10887331608885271
524.53,0.06369088802291319,0.07978936454050296
